Unnamed: 0,tgt_smi,origin_label,sub_change,src_smi,origin_pred_ESOL,opt_pred_ESOL,origin_pred_Mutagenicity,opt_pred_Mutagenicity,task_name,mode,origin_pred_lipop,opt_pred_lipop,origin_pred_BBBP,opt_pred_BBBP,cano_src_smi,cano_tgt_smi,group
3801,O=S(=O)(O)[c:1]1[cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]([NH2:1])[c:1]1O,0,*[OH:1]->*N,[CH3:0][N:0]1[CH2:0][CH2:0][N:0]([c:1]2[cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]([NH2:1])[c:1]2[NH2:0])[CH2:0][CH2:0]1,-2.274985074996948,-3.3979625701904297,0.1107306629419326,0.9843724966049194,Mutagenicity ESOL,higher,,,,,CN1CCN(c2cc([N+](=O)[O-])cc(N)c2N)CC1,Nc1cc([N+](=O)[O-])cc(S(=O)(=O)O)c1O,train
4206,O[c:1]1[c:1]([CH3:1])[cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]1[N+:1](=[O:1])[O-:1],0,*[O:0][CH3:0]->*C#C,[CH:0]#[C:0][c:1]1[c:1]([CH3:1])[cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]1[N+:1](=[O:1])[O-:1],-2.0881595611572266,-4.206326007843018,0.3324467837810516,0.8756674528121948,Mutagenicity ESOL,higher,,,,,C#Cc1c(C)cc([N+](=O)[O-])cc1[N+](=O)[O-],Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,train
4227,O=S(=O)(O)[CH:1]1[CH:1]([OH:1])[c:1]2[c:1]([cH:1][c:1]3[cH:1][cH:1][c:1]4[cH:1][cH:1][cH:1][c:1]5[cH:1][cH:1][c:1]2[c:1]3[c:1]45)[CH:1](O)[CH:1]1[OH:1],0,*[OH:1]->*C,[CH3:0][CH:1]1[c:1]2[cH:1][c:1]3[cH:1][cH:1][c:1]4[cH:1][cH:1][cH:1][c:1]5[cH:1][cH:1][c:1]([c:1]2[CH:1]([OH:1])[CH:1]([C:0]#[N:0])[CH:1]1[OH:1])[c:1]3[c:1]45,-3.8919196128845215,-5.862123489379883,0.1861511766910553,0.7357875108718872,Mutagenicity ESOL,higher,,,,,CC1c2cc3ccc4cccc5ccc(c2C(O)C(C#N)C1O)c3c45,O=S(=O)(O)C1C(O)c2c(cc3ccc4cccc5ccc2c3c45)C(O)C1O,train
410,O=C(O)[c:1]1[cH:1][cH:1][c:1]([N:1]=[N:1][N:1]([CH3:1])[CH3:1])[cH:1][cH:1]1,0,*[CH:0]1[CH2:0][CH2:0]1->*C(=O)C(C)C,[CH3:0][CH:0]([CH3:0])[C:0](=[O:0])[c:1]1[cH:1][cH:1][c:1]([N:1]=[N:1][N:1]([CH3:1])[CH3:1])[cH:1][cH:1]1,-1.670811414718628,-2.851684093475342,0.2513124346733093,0.857343316078186,Mutagenicity ESOL,higher,,,,,CC(C)C(=O)c1ccc(N=NN(C)C)cc1,CN(C)N=Nc1ccc(C(=O)O)cc1,train
424,C[c:1]1[cH:1][cH:1][c:1]([NH+:1](O)[O-:1])[cH:1][cH:1]1,0,*N->*S,[O:0]=[C:0]([OH:0])[c:1]1[cH:1][cH:1][c:1]([NH+:1]([SH:0])[O-:1])[cH:1][cH:1]1,-0.545182466506958,-2.027793407440185,0.4009322226047516,0.8930085301399231,Mutagenicity ESOL,higher,,,,,O=C(O)c1ccc([NH+]([O-])S)cc1,Cc1ccc([NH+]([O-])O)cc1,train
429,C[c:1]1[cH:1][cH:1][c:1]([NH+:1](O)[O-:1])[cH:1][cH:1]1,0,*O->*C,[CH3:0][CH2:0][NH+:1]([O-:1])[c:1]1[cH:1][cH:1][c:1]([C:0]([CH3:0])=[O:0])[cH:1][cH:1]1,-0.545182466506958,-1.7057212591171265,0.4009322226047516,0.6929932832717896,Mutagenicity ESOL,higher,,,,,CC[NH+]([O-])c1ccc(C(C)=O)cc1,Cc1ccc([NH+]([O-])O)cc1,train
449,[O-][NH+:1](O)[c:1]1[cH:1][cH:1][c:1](C(O)C(CO)[NH:1][C:1](=[O:1])[CH:1]([Cl:1])[Cl:1])[cH:1][cH:1]1,0,*O->*OC,[CH3:0][CH2:0][NH+:1]([O:0][CH3:0])[c:1]1[cH:1][cH:1][c:1]([CH2:0][CH2:0][NH:1][C:1](=[O:1])[CH:1]([Cl:1])[Cl:1])[cH:1][cH:1]1,-1.6870384216308594,-2.891570806503296,0.1497699320316314,0.8652604818344116,Mutagenicity ESOL,higher,,,,,CC[NH+](OC)c1ccc(CCNC(=O)C(Cl)Cl)cc1,O=C(NC(CO)C(O)c1ccc([NH+]([O-])O)cc1)C(Cl)Cl,train
967,O[c:1]1[cH:1][cH:1][c:1](-[c:1]2[cH:1][cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[c:1]2O)[cH:1][c:1]1[N+:1](=[O:1])[O-:1],0,*[OH:0]->*C(C)C,[CH3:0][CH:0]([CH3:0])[c:1]1[cH:1][cH:1][c:1](-[c:1]2[cH:1][cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[c:1]2[Cl:0])[cH:1][c:1]1[N+:1](=[O:1])[O-:1],-3.694369554519653,-6.698611259460449,0.271077424287796,0.8274143934249878,Mutagenicity ESOL,higher,,,,,CC(C)c1ccc(-c2cccc([N+](=O)[O-])c2Cl)cc1[N+](=O)[O-],O=[N+]([O-])c1cc(-c2cccc([N+](=O)[O-])c2O)ccc1O,train
1021,N[CH:1](C(=O)O)[CH2:1][CH2:1][C:1](=[O:1])[NH:1][c:1]1[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][cH:1]1,0,*N->*CC,[CH3:0][CH2:0][CH:1]([CH3:0])[CH2:1][CH2:1][C:1](=[O:1])[NH:1][c:1]1[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][cH:1]1,-2.163473606109619,-3.896872997283936,0.4598053991794586,0.6950542330741882,Mutagenicity ESOL,higher,,,,,CCC(C)CCC(=O)Nc1ccc([N+](=O)[O-])cc1,NC(CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O,train
1030,N[CH:1](C(=O)O)[CH2:1][CH2:1][C:1](=[O:1])[NH:1][c:1]1[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][cH:1]1,0,*N->*O,[CH3:0][CH2:0][CH2:0][CH2:0][CH:1]([OH:0])[CH2:1][CH2:1][C:1](=[O:1])[NH:1][c:1]1[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][cH:1]1,-2.163473606109619,-3.0114262104034424,0.4598053991794586,0.7195333242416382,Mutagenicity ESOL,higher,,,,,CCCCC(O)CCC(=O)Nc1ccc([N+](=O)[O-])cc1,NC(CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O,train
1044,O[c:1]1[c:1]2[n:1][c:1]3[cH:1][cH:1][cH:1][cH:1][c:1]3[c:1]-2[n:1][n:1][n:1]1/[N:1]=[CH:1]/[c:1]1[cH:1][cH:1][c:1](-c2ccccc2)[cH:1][cH:1]1,0,*[C:0](=[O:0])[CH:0]([Cl:0])[Cl:0]->*C(=O)OCCCC,[CH3:0][CH2:0][CH2:0][CH2:0][O:0][C:0](=[O:0])[c:1]1[cH:1][cH:1][c:1](/[CH:1]=[N:1]/[n:1]2[n:1][n:1][c:1]3[c:1]4[cH:1][cH:1][cH:1][cH:1][c:1]4[n:1][c:1]-3[c:1]2[S:0][CH3:0])[cH:1][cH:1]1,-4.415957450866699,-6.06276798248291,0.2100627124309539,0.7508891820907593,Mutagenicity ESOL,higher,,,,,CCCCOC(=O)c1ccc(/C=N/n2nnc3c4ccccc4nc-3c2SC)cc1,Oc1c2nc3ccccc3c-2nnn1/N=C/c1ccc(-c2ccccc2)cc1,train
1192,C[c:1]1[cH:1][cH:1][c:1]2[c:1](=[O:1])[c:1](C(=O)O)[cH:1][n:1]([CH2:1][CH3:1])[c:1]2[n:1]1,0,*[CH3:0]->*I,[CH3:0][O:0][c:1]1[cH:1][n:1]([CH2:1][CH3:1])[c:1]2[n:1][c:1]([I:0])[cH:1][cH:1][c:1]2[c:1]1=[O:1],-2.563226222991944,-3.5801053047180176,0.2339524030685424,0.6195400953292847,Mutagenicity ESOL,higher,,,,,CCn1cc(OC)c(=O)c2ccc(I)nc21,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,train
1657,O[CH:1]1[CH:1]=[CH:1][c:1]2[c:1]([cH:1][cH:1][c:1]3[cH:1][c:1]4[c:1]5[c:1]([cH:1][cH:1][c:1]4[cH:1][c:1]23)[CH:1](O)[CH:1]([OH:1])[CH:1]=[CH:1]5)[CH:1]1O,0,*[OH:1]->*N,[CH3:0][CH:1]1[c:1]2[cH:1][cH:1][c:1]3[cH:1][c:1]4[c:1]5[c:1]([cH:1][cH:1][c:1]4[cH:1][c:1]3[c:1]2[CH:1]=[CH:1][CH:1]1[NH2:0])[CH:1]([NH2:0])[CH:1]([OH:1])[CH:1]=[CH:1]5,-4.295956611633301,-5.553299903869629,0.4893574714660644,0.9221922159194946,Mutagenicity ESOL,higher,,,,,CC1c2ccc3cc4c5c(ccc4cc3c2C=CC1N)C(N)C(O)C=C5,OC1C=Cc2c(ccc3cc4c5c(ccc4cc23)C(O)C(O)C=C5)C1O,train
2189,O[CH2:1][C:1]([Br:1])([CH2:1]O)[NH+:1](O)[O-:1],0,*O->*C,[CH3:0][O:0][CH2:1][C:1]([Br:1])([CH2:1][CH3:0])[NH+:1]([O:0][CH3:0])[O-:1],0.376762330532074,-0.7077051997184753,0.3686571717262268,0.5528303384780884,Mutagenicity ESOL,higher,,,,,CCC(Br)(COC)[NH+]([O-])OC,[O-][NH+](O)C(Br)(CO)CO,train
2302,O[c:1]1[cH:1][cH:1][c:1]([CH:1](O)[CH2:1][N:1]([CH2:1][CH2:1][CH2:1][CH3:1])[N:1]=[O:1])[cH:1][cH:1]1,0,*[O:0]*->*N*,[CH3:0][CH2:0][NH:0][CH:1]([CH2:1][N:1]([CH2:1][CH2:1][CH2:1][CH3:1])[N:1]=[O:1])[c:1]1[cH:1][cH:1][c:1]([C:0]([CH3:0])([CH3:0])[CH3:0])[cH:1][cH:1]1,-1.233543038368225,-5.120128154754639,0.2897304892539978,0.5266857147216797,Mutagenicity ESOL,higher,,,,,CCCCN(CC(NCC)c1ccc(C(C)(C)C)cc1)N=O,CCCCN(CC(O)c1ccc(O)cc1)N=O,train
2343,OC[C:1]12[O:1][O:1][C:1]1([CH2:1]O)[c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1[O:1]2,0,*[CH:1]=[O:0]->*C,[CH3:0][CH2:0][CH2:1][C:1]12[O:1][O:1][C:1]1([CH3:0])[O:1][c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]12,-0.9966033697128296,-3.6508498191833496,0.1620836406946182,0.5032185912132263,Mutagenicity ESOL,higher,,,,,CCCC12OOC1(C)Oc1ccccc12,OCC12OOC1(CO)c1ccccc1O2,train
3302,N[c:1]1[cH:1][cH:1][c:1]([Cl:1])[c:1](C(F)(F)F)[cH:1]1,0,*[OH:0]->*C#C,[CH:0]#[C:0][c:1]1[cH:1][cH:1][c:1]([Cl:1])[c:1](-[c:0]2[cH:0][cH:0][cH:0][cH:0][c:0]2[F:0])[cH:1]1,-3.45484471321106,-6.16270923614502,0.0329255834221839,0.8531246185302734,Mutagenicity ESOL,higher,,,,,C#Cc1ccc(Cl)c(-c2ccccc2F)c1,Nc1ccc(Cl)c(C(F)(F)F)c1,train
3374,O=S(=O)(O)[c:1]1[c:1]([N:1]=[N:1][c:1]2[c:1](O)[cH:1][cH:1][c:1]3[cH:1][cH:1][cH:1][cH:1][c:1]23)[cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]12,0,*[C:0]([NH2:0])=[O:0]->*Cl,[Cl:0][CH2:0][c:1]1[c:1]([N:1]=[N:1][c:1]2[c:1]([Cl:0])[cH:1][cH:1][c:1]3[cH:1][cH:1][cH:1][cH:1][c:1]23)[cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]12,-4.107923984527588,-8.29564094543457,0.1513289511203766,0.9132609367370604,Mutagenicity ESOL,higher,,,,,ClCc1c(N=Nc2c(Cl)ccc3ccccc23)ccc2ccccc12,O=S(=O)(O)c1c(N=Nc2c(O)ccc3ccccc23)ccc2ccccc12,train
3488,CN(C)[c:1]1[cH:1][cH:1][c:1]([N:1]=[N:1][c:1]2[cH:1][cH:1][c:1](N(C)C)[cH:1][cH:1]2)[cH:1][cH:1]1,0,*[N:1]([CH3:1])[CH3:1]->*C,[CH3:0][CH2:0][O:0][c:1]1[cH:1][cH:1][c:1]([N:1]=[N:1][c:1]2[cH:1][cH:1][c:1]([CH3:0])[cH:1][cH:1]2)[cH:1][cH:1]1,-4.369984149932861,-5.446009159088135,0.4849031567573547,0.868573009967804,Mutagenicity ESOL,higher,,,,,CCOc1ccc(N=Nc2ccc(C)cc2)cc1,CN(C)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,train
3744,O[C@H:1]([CH3:1])[CH2:1][O:1][CH2:1][C@H:1](O)[CH3:1],0,*N->*N(C)C,[CH3:0][N:0]([CH3:0])[C@H:1]([CH3:1])[CH2:1][O:1][CH2:1][C@@H:1]([F:0])[CH3:1],0.6001021265983582,-1.0762253999710083,0.1338345557451248,0.609510064125061,Mutagenicity ESOL,higher,,,,,C[C@H](F)COC[C@@H](C)N(C)C,C[C@@H](O)COC[C@@H](C)O,train
3990,CCCCOC(=[O:1])[c:1]1[cH:1][cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][n:1][c:1]12,0,*[c:0]1[cH:0][cH:0][cH:0][cH:0][cH:0]1->*CC(CC)CCCC,[CH3:0][CH2:0][CH2:0][CH2:0][CH:0]([CH2:0][CH3:0])[CH2:0][O:1][NH:0][c:1]1[cH:1][cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][n:1][c:1]12,-3.603016376495361,-4.2765092849731445,0.0249937810003757,0.9242011308670044,Mutagenicity ESOL,higher,,,,,CCCCC(CC)CONc1cccc2cccnc12,CCCCOC(=O)c1cccc2cccnc12,train
4159,O[CH:1](c1ccc([NH:1][S:1]([CH3:1])(=[O:1])=[O:1])cc1)[CH2:1][NH:1][CH:1]([CH3:1])[CH3:1],0,*[C@@H:0]1[CH2:0][O:0]1->*CCC(C)C,[CH3:0][CH:0]([CH3:0])[CH2:0][CH2:0][CH:0]([CH:0]([C@H:0]1[CH2:0][O:0]1)[CH:1]([CH3:0])[CH2:1][NH:1][CH:1]([CH3:1])[CH3:1])[NH:1][S:1]([CH3:1])(=[O:1])=[O:1],-2.232882738113404,-3.661357164382935,0.0165587030351161,0.7059116363525391,Mutagenicity ESOL,higher,,,,,CC(C)CCC(NS(C)(=O)=O)C(C(C)CNC(C)C)[C@H]1CO1,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,train
4210,N[c:1]1[cH:1][cH:1][c:1]2[cH:1][c:1]([S:1](=[O:1])(=[O:1])[OH:1])[cH:1][c:1](O)[c:1]2[c:1]1[N:1]=[N:1][c:1]1[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]1S(=O)(=O)O,0,*[NH2:1]->*C,[CH3:0][c:1]1[cH:1][cH:1][c:1]2[cH:1][c:1]([S:1](=[O:1])(=[O:1])[OH:1])[cH:1][c:1]([CH:0]3[CH2:0][CH2:0]3)[c:1]2[c:1]1[N:1]=[N:1][c:1]1[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]1-[c:0]1[cH:0][cH:0][cH:0][cH:0][cH:0]1,-3.581338882446289,-6.779275417327881,0.2364328205585479,0.7533540725708008,Mutagenicity ESOL,higher,,,,,Cc1ccc2cc(S(=O)(=O)O)cc(C3CC3)c2c1N=Nc1ccc([N+](=O)[O-])cc1-c1ccccc1,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,train
4218,O=S(=O)(O)[c:1]1[cH:1][c:1](O)[c:1]2[c:1]([N:1]=[N:1][c:1]3[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]3S(=O)(=O)O)[c:1]([NH2:1])[cH:1][cH:1][c:1]2[cH:1]1,0,*[S:1](=[O:1])(=[O:1])[OH:1]->*C(=O)N,[CH3:0][c:1]1[cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][cH:1][c:1]1[N:1]=[N:1][c:1]1[c:1]([NH2:1])[cH:1][cH:1][c:1]2[cH:1][c:1]([C:0]([NH2:0])=[O:0])[cH:1][c:1]([NH2:0])[c:1]12,-3.581338882446289,-4.845893859863281,0.2364328205585479,0.9935193061828612,Mutagenicity ESOL,higher,,,,,Cc1cc([N+](=O)[O-])ccc1N=Nc1c(N)ccc2cc(C(N)=O)cc(N)c12,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,train
4311,O=C[c:1]1[cH:1][cH:1][c:1]([NH2:1])[cH:1][cH:1]1,0,*O->*CC,[CH3:0][CH2:0][N:0]([CH3:0])[c:1]1[cH:1][cH:1][c:1]([NH2:1])[cH:1][cH:1]1,-1.209288239479065,-1.8948612213134768,0.1547249257564544,0.9481624364852904,Mutagenicity ESOL,higher,,,,,CCN(C)c1ccc(N)cc1,Nc1ccc(C=O)cc1,train
4558,O=C(O)[CH:1]1[O:1][CH:1]([O:1][c:1]2[cH:1][cH:1][cH:1][c:1]3[c:1]2[cH:1][c:1]2[cH:1][cH:1][c:1]4[cH:1][cH:1][cH:1][c:1]5[cH:1][cH:1][c:1]3[c:1]2[c:1]45)[CH:1](O)[CH:1]([OH:1])[CH:1]1O,0,*[OH:1]->*NC,[CH3:0][CH2:0][CH:1]1[CH:1]([O:1][c:1]2[cH:1][cH:1][cH:1][c:1]3[c:1]2[cH:1][c:1]2[cH:1][cH:1][c:1]4[cH:1][cH:1][cH:1][c:1]5[cH:1][cH:1][c:1]3[c:1]2[c:1]45)[O:1][CH:1]([NH2:0])[CH:1]([NH:0][CH3:0])[CH:1]1[OH:1],-4.2956624031066895,-6.829598903656006,0.1104674115777015,0.8518794178962708,Mutagenicity ESOL,higher,,,,,CCC1C(Oc2cccc3c2cc2ccc4cccc5ccc3c2c45)OC(N)C(NC)C1O,O=C(O)C1OC(Oc2cccc3c2cc2ccc4cccc5ccc3c2c45)C(O)C(O)C1O,train
5060,O=C(O)/[CH:1]=[CH:1]/[c:1]1[cH:1][cH:1][c:1](Cl)[cH:1][cH:1]1,0,*[I:0]->*OC,[CH3:0][O:0][c:1]1[cH:1][cH:1][c:1]([CH:1]=[CH:1][N+:0](=[O:0])[O-:0])[cH:1][cH:1]1,-2.021958827972412,-2.8839094638824463,0.0064496146515011,0.7083779573440552,Mutagenicity ESOL,higher,,,,,COc1ccc(C=C[N+](=O)[O-])cc1,O=C(O)/C=C/c1ccc(Cl)cc1,train
5302,O=C(C1OC1c1ccc(-[c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)cc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,0,*[CH:1]1[O:1][CH:1]1*->*S*,[cH:0]1[cH:0][cH:0][c:0]2[c:0]([cH:0]1)[c:0]([S:0][CH2:0][CH2:0][c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)[cH:0][n:0]2-[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-6.29865026473999,-7.104710578918457,0.1486968398094177,0.5191107988357544,Mutagenicity ESOL,higher,,,,,c1ccc(CCSc2cn(-c3ccccc3)c3ccccc23)cc1,O=C(c1ccccc1)C1OC1c1ccc(-c2ccccc2)cc1,train
5733,O[CH2:1][CH:1](O)[CH2:1]O,0,*O->*C#C,[CH:0]#[C:0][CH2:1][CH:1]([Cl:0])[CH2:1][Cl:0],0.997928023338318,-1.9562561511993408,0.0576469711959362,0.916411519050598,Mutagenicity ESOL,higher,,,,,C#CCC(Cl)CCl,OCC(O)CO,train
